filename,caption,truncated_caption,source,source_type,disease_label,hierarchical_disease_label,skin_concept,body_location,symptoms,age,gender
pubmed/fa_03_PMC6872615_JVIM-33-2770-g004_5.jpg,"Atrophy of the biceps femoris, middle, and superficial gluteal muscles, indicated by respective arrows, in the same horse as shown in the previous image.","Atrophy of the biceps femoris, middle, and superficial gluteal muscles, indicated by respective arrows, in the same horse as shown in the previous image.",pubmed_fail,knowledge,no definitive diagnosis,,atrophy,No body location information,No symptom information,No age information,No gender information
youtube/IXZC_NOKpq0_frame_20623_0_0.jpg,"This image shows a person discussing their approach to treating skin diseases, emphasizing the importance of combining different treatments such as laser and Fraxel for optimal results with minimal downtime.","This image shows a person discussing their approach to treating skin diseases, emphasizing the importance of combining different treatments such as laser and Fraxel for optimal results with minimal downtime.",youtube,edu,no definitive diagnosis,no definitive diagnosis,No visual concepts,No body location information,No symptom information,No age information,No gender information
pubmed/5e_ea_PMC7007033_abd-94-04-0491-g03_1.jpg,"Right first digit, after 60 days, following 2 infiltrations, with 1 infiltration every 30 days.","Right first digit, after 60 days, following 2 infiltrations, with 1 infiltration every 30 days.",pubmed_fail,knowledge,no definitive diagnosis,,No visual concepts,No body location information,No symptom information,No age information,No gender information
pubmed/42_f3_PMC8202470_IDOJ_12_454_g001_0.png,Front view.,Front view.,pubmed_english,knowledge,no definitive diagnosis,,No visual concepts,No body location information,No symptom information,No age information,No gender information
youtube/0JGlIffYRuM_frame_4049_0.jpg,"This image depicts the differences in appearance and growth patterns between SCCs and BCCs, with SCCs commonly appearing on lips, forearms, and dorsum of the hands, while BCCs are more commonly found on the face, scalp, and ears.","This image depicts the differences in appearance and growth patterns between SCCs and BCCs, with SCCs commonly appearing on lips, forearms, and dorsum of the hands, while BCCs are more commonly found on the face, scalp, and ears.",youtube,edu,no definitive diagnosis,no definitive diagnosis,No visual concepts,"scalp, ear, lips, hand, face",No symptom information,No age information,No gender information
youtube/ypkfPgxNFms_frame_14593_12.jpg,"This image depicts a red, potentially inflamed skin condition that may require a biopsy for diagnosis and treatment.","This image depicts a red, potentially inflamed skin condition that may require a biopsy for diagnosis and treatment.",youtube,edu,no definitive diagnosis,no definitive diagnosis,red,No body location information,No symptom information,No age information,No gender information
pubmed/75_4a_PMC4660531_MEAJO_22_452_g002.png,Upper blepharoplasty marking shows a wider area of lateral skin excision to address the lateral hooding,Upper blepharoplasty marking shows a wider area of lateral skin excision to address the lateral hooding,pubmed_english,knowledge,no definitive diagnosis,,No visual concepts,No body location information,No symptom information,No age information,No gender information
pubmed/d4_51_PMC2769368_1757_1626_0002_0000007765_002.png,Peeled skin over the back and buttocks.,Peeled skin over the back and buttocks.,pubmed_english,knowledge,no definitive diagnosis,,No visual concepts,"back, buttocks",No symptom information,No age information,No gender information
youtube/I7eKJIr53rM_frame_1059_0_0.jpg,"This image depicts a case of a skin condition that was initially misdiagnosed as another skin disease, highlighting the importance of accurate diagnosis in skin care.","This image depicts a case of a skin condition that was initially misdiagnosed as another skin disease, highlighting the importance of accurate diagnosis in skin care.",youtube,edu,no definitive diagnosis,no definitive diagnosis,No visual concepts,No body location information,No symptom information,No age information,No gender information
pubmed/0b_67_PMC5086375_CRID2016_2164340.001_2.png,"Intraoral examination showing variation in the timing and shape of the teeth, hypodontia, and ogival palate.","Intraoral examination showing variation in the timing and shape of the teeth, hypodontia, and ogival palate.",pubmed_english,knowledge,no definitive diagnosis,,No visual concepts,No body location information,No symptom information,No age information,No gender information
youtube/gXopKKNLKJg_frame_2880_0_0.jpg,"This image shows a skin condition with small, flat lesions that are either hyper or hypo pigmented. These lesions can be classified as macules (less than 0.5 cm) or patches (more than 0.5 cm), and can be a sign of various skin diseases.","This image shows a skin condition with small, flat lesions that are either hyper or hypo pigmented. These lesions can be classified as macules (less than 0.5 cm) or patches (more than 0.5 cm), and can be a sign of various skin diseases.",youtube,edu,no definitive diagnosis,no definitive diagnosis,"flat, macule, patch",No body location information,No symptom information,No age information,No gender information
pubmed/76_bc_PMC7556687_cureus_0012_00000010433_i01.png,"Preoperative image: The image shows a residual lump in the right breast (red arrow), measuring 12 x 10 cm in size, fixed to underlying pectoralis major (PM) muscle with limited right arm abduction.","Preoperative image: The image shows a residual lump in the right breast (red arrow), measuring 12 x 10 cm in size, fixed to underlying pectoralis major (PM) muscle with limited right arm abduction.",pubmed_english,knowledge,no definitive diagnosis,,No visual concepts,"breasts, arm",No symptom information,No age information,No gender information
IIYI/26429_7.png,"The original post revolves around a collection of typical skin disease images. Notably, the poster mentions conditions such as Acanthosis nigricans in the groin and thigh areas, underarms, and also makes mention of Vitiligo on the face. Other users discuss and add contributions about other skin conditions like Disseminated Granuloma, Acne, and Psoriasis. The poster and others discuss the images which are described as clear and high-quality; they talk about various skin conditions, including some attributed to obesity-related insulin resistance. No specific treatments or comprehensive diagnostic discussions are mentioned.","The original post revolves around a collection of typical skin disease images. Notably, the poster mentions conditions such as Acanthosis nigricans in the groin and thigh areas, underarms, and also makes mention of Vitiligo on the face. Other users discuss and add contributions about other skin conditions like Disseminated Granuloma, Acne, and Psoriasis. The poster and others discuss the images which are described as clear and high-quality; they talk about various skin conditions, including some attributed to obesity-related insulin resistance. No specific treatments or comprehensive diagnostic discussions are mentioned.",IIYI_chinese,forum,no definitive diagnosis,,No visual concepts,"thigh, groin, face",No symptom information,No age information,No gender information
